55	38	24	7	50	31	4
77	77	77	77	77	77	44
90	90	90	90	90	90	4
71	71	71	83	62	19	20
93	93	93	93	93	93	86
24	30	39	62	75	91	95
6	36	76	84	10	57	33
34	53	23	2	62	27	42
2	21	21	21	43	47	93
48	48	48	48	48	48	67
75	75	75	75	75	75	51
6	8	15	16	31	70	73
1	18	84	64	4	76	28
84	84	84	84	84	84	40
85	85	85	33	4	5	2
7	16	54	54	54	61	89
47	47	47	47	47	47	50
60	40	63	82	58	62	55
35	35	35	35	35	35	66
88	88	88	88	88	88	43
49	3	1	34	83	62	71
15	27	54	49	50	13	60
63	34	73	69	31	12	57
29	45	50	50	50	87	100
17	20	34	53	59	79	94
7	41	45	50	97	50	45
61	61	61	31	95	62	38
35	56	56	56	56	56	56
91	91	91	91	91	91	87
19	19	19	47	46	17	11
83	71	52	31	61	30	34
53	31	7	61	56	66	61
40	40	40	40	40	40	79
92	38	51	37	73	96	40
52	52	52	52	52	52	16
95	94	74	60	68	19	76
13	33	30	87	1	61	20
77	77	77	77	77	77	89
50	50	50	5	85	55	33
4	26	34	37	37	37	82
41	41	41	41	41	41	60
78	78	78	4	76	81	15
13	28	51	52	52	52	96
38	38	38	38	38	38	68
1	78	78	20	56	90	23
91	91	91	55	19	96	89
17	50	63	70	70	73	94
52	52	52	52	52	52	22
63	63	63	63	63	63	14
11	11	11	64	59	68	88
35	35	35	13	80	46	2
93	93	93	93	93	93	36
58	58	58	58	58	58	79
62	62	62	62	62	62	21
93	93	93	93	93	93	44
25	29	36	36	36	48	91
28	44	46	54	79	83	99
10	30	30	68	77	86	95
75	30	7	88	52	92	18
75	75	75	75	75	75	19
65	65	65	65	65	65	46
93	93	93	93	93	93	70
40	40	40	50	41	32	28
7	23	77	80	91	91	91
40	40	40	40	40	40	36
22	10	52	79	38	36	9
48	15	5	72	18	3	76
76	76	76	76	76	76	37
6	29	41	62	63	75	89
68	68	68	68	68	68	77
5	96	76	63	22	1	51
2	52	58	61	83	92	98
27	93	93	93	93	93	93
29	29	29	29	29	29	82
12	88	25	16	10	74	19
55	40	75	28	5	23	11
4	4	32	36	58	76	97
47	52	58	58	58	86	88
78	78	78	78	78	78	32
49	49	49	5	76	14	17
5	23	47	47	48	60	85
40	40	40	2	46	58	39
74	74	74	74	74	74	44
5	5	5	5	5	5	98
33	33	33	33	33	33	33
15	26	53	55	58	67	87
17	17	17	17	21	69	89
22	13	33	57	13	69	71
46	46	46	48	12	12	80
61	61	61	61	61	61	70
11	11	11	11	11	11	6
5	10	16	53	91	97	98
18	18	18	33	12	26	71
4	9	24	42	41	60	78
44	44	44	94	52	89	48
12	24	50	50	50	86	87
3	3	3	40	60	80	47
33	33	33	33	33	33	53
4	12	22	43	66	76	100
32	32	32	79	58	93	21
49	55	55	55	55	55	55
59	18	95	90	5	94	80
23	28	44	60	67	94	97
6	53	73	96	30	51	26
53	16	3	67	82	37	31
53	24	63	83	19	98	9
96	98	98	98	98	98	98
4	4	4	79	50	52	98
41	70	14	4	7	69	71
28	42	21	39	51	23	98
51	51	51	51	51	51	79
15	19	28	45	48	49	94
96	96	96	77	70	78	96
96	96	96	96	96	96	33
11	15	27	35	52	55	77
2	2	2	2	2	2	30
30	30	30	13	34	29	42
14	30	44	48	51	70	90
63	63	63	63	63	63	47
71	71	71	71	71	71	30
68	76	6	89	48	56	1
2	2	2	85	46	78	10
25	25	25	30	67	79	86
75	75	75	75	75	75	78
55	85	72	59	30	28	21
6	6	6	6	6	6	86
43	84	38	6	8	18	44
62	62	62	62	62	62	32
18	53	43	55	36	1	35
51	51	51	51	51	51	82
4	7	19	63	75	75	75
98	51	28	86	42	49	34
15	7	31	68	43	72	11
43	84	35	42	87	86	70
21	31	48	60	80	85	88
95	34	80	57	66	38	66
13	13	24	89	48	94	92
50	50	50	50	50	50	81
75	75	75	40	83	94	47
70	70	70	70	70	70	70
84	84	84	97	82	65	89
81	81	81	81	81	81	99
12	44	65	68	75	95	97
28	30	31	34	36	76	94
63	62	33	89	21	6	53
70	70	70	70	70	70	64
86	97	96	2	45	36	9
25	27	45	44	19	94	2
12	90	27	35	67	10	80
52	41	1	32	7	23	32
71	71	71	71	71	71	43
1	53	53	59	65	94	94
45	29	31	14	7	38	17
23	23	23	23	23	23	73
41	41	41	86	59	51	13
5	26	85	68	62	38	8
57	80	41	33	13	33	28
2	2	2	5	47	55	59
3	14	22	44	76	85	99
51	51	51	62	15	12	100
16	65	93	43	98	91	38
39	39	39	39	39	39	63
75	36	17	74	65	71	68
31	31	31	31	31	31	98
41	41	41	41	41	41	24
76	76	76	76	76	76	71
42	88	95	97	35	70	23
4	7	56	64	80	92	94
49	84	54	9	67	61	72
35	78	79	43	100	31	36
6	34	62	38	45	45	56
90	61	19	63	23	35	25
4	90	46	67	20	63	90
65	39	47	6	59	47	20
28	15	3	29	80	48	84
82	82	82	82	82	82	80
14	66	38	83	54	24	23
78	83	78	74	87	65	11
28	28	41	42	63	79	90
5	42	76	83	84	95	99
53	58	41	96	58	12	18
35	39	83	33	77	83	71
9	9	9	9	9	9	73
56	56	56	18	74	29	88
85	85	85	85	85	85	100
63	76	91	88	56	62	68
11	11	11	11	11	11	3
77	47	99	88	89	99	6
91	91	91	91	91	91	35
9	26	34	53	65	88	92
79	79	79	70	83	48	78
50	50	50	56	13	41	25
88	59	74	27	91	76	71
51	52	81	47	53	94	44
33	33	33	27	33	86	74
30	42	44	65	70	73	84
72	62	84	92	55	32	15
73	73	73	73	73	73	94
61	61	61	61	61	61	99
11	46	46	74	91	91	91
3	62	62	62	78	79	86
